name tsdp_9_s500_k14
K 14
stations
# id x y nbp capa ideal
1 41 10 3 10 7
2 38 96 2 9 7
3 14 26 0 6 2
4 22 66 4 7 7
5 60 1 8 8 5
6 97 29 0 15 8
7 62 7 11 13 11
8 33 79 2 5 5
9 20 94 0 6 5
10 78 28 9 12 6
11 0 64 2 14 2
12 63 37 5 13 8
13 71 37 1 6 1
14 1 85 4 10 7
15 74 99 1 5 0
16 32 16 0 7 2
17 75 55 4 5 5
18 37 30 0 5 5
19 33 52 3 6 4
20 2 28 6 9 8
21 44 48 8 15 6
22 91 21 5 6 0
23 39 29 1 5 0
24 9 33 1 12 12
25 88 55 0 9 0
26 80 76 2 9 3
27 16 98 7 12 2
28 65 35 1 7 4
29 1 18 4 7 7
30 99 20 1 6 6
31 92 7 7 14 1
32 43 32 1 5 3
33 53 8 3 9 8
34 24 78 2 8 4
35 9 26 1 7 4
36 5 84 7 12 9
37 81 9 0 5 5
38 44 71 0 9 8
39 26 24 6 9 1
40 32 53 5 11 7
41 60 95 4 5 0
42 33 85 3 8 6
43 17 51 8 12 4
44 94 63 6 14 13
45 77 96 3 13 12
46 47 36 5 12 10
47 56 85 4 11 7
48 92 12 11 15 11
49 35 85 1 6 0
50 89 34 6 14 8
51 89 59 7 9 5
52 93 0 1 13 13
53 71 97 7 7 5
54 34 29 2 15 7
55 94 30 5 11 7
56 57 49 10 10 7
57 44 21 3 14 7
58 92 34 9 11 4
59 40 90 9 9 9
60 19 69 6 11 10
61 35 24 4 9 2
62 43 23 2 7 2
63 64 71 0 15 5
64 32 78 12 15 3
65 26 3 9 10 5
66 23 76 0 7 2
67 92 6 7 11 3
68 60 77 10 11 7
69 39 64 0 13 9
70 4 42 0 10 4
71 58 94 1 10 0
72 35 77 6 10 4
73 98 93 5 10 1
74 41 70 0 5 1
75 95 71 3 5 3
76 87 25 6 8 5
77 22 76 0 6 5
78 3 70 7 13 11
79 5 86 5 12 0
80 60 34 2 6 6
81 50 59 1 7 5
82 63 21 9 15 12
83 23 17 5 9 7
84 74 25 2 8 1
85 10 98 7 8 1
86 84 53 12 15 2
87 12 68 5 6 3
88 62 34 0 6 2
89 60 4 5 10 8
90 19 1 4 7 6
91 69 55 1 6 3
92 75 3 5 15 9
93 19 85 5 5 2
94 44 6 1 15 0
95 95 97 5 5 4
96 54 78 2 10 6
97 36 89 2 12 0
98 84 18 11 15 8
99 89 44 1 13 11
100 24 90 9 13 10
101 4 92 6 13 0
102 20 55 12 15 9
103 5 59 5 14 6
104 61 84 4 11 11
105 83 96 2 11 3
106 33 68 4 6 5
107 49 8 13 14 3
108 96 12 2 6 4
109 75 20 2 8 5
110 29 32 10 13 10
111 7 20 6 8 3
112 22 23 0 14 1
113 15 13 0 7 4
114 45 71 3 6 5
115 66 30 2 7 1
116 19 58 6 9 3
117 90 40 5 5 0
118 35 95 5 12 1
119 56 60 3 7 7
120 44 42 2 13 12
121 32 4 11 13 8
122 54 52 3 8 0
123 76 44 5 9 0
124 26 2 7 11 2
125 30 64 2 9 1
126 21 69 4 11 5
127 25 5 9 9 9
128 22 82 2 6 1
129 52 88 13 13 13
130 55 21 10 13 7
131 46 33 5 14 4
132 29 6 5 8 6
133 49 29 6 11 8
134 79 96 9 11 1
135 93 20 9 9 8
136 7 40 0 5 2
137 30 13 6 11 0
