name tsdp_8_s200_k12
K 12
stations
# id x y nbp capa ideal
1 38 15 5 5 5
2 76 70 0 8 3
3 28 64 5 11 2
4 79 20 6 7 0
5 37 64 2 9 6
6 54 36 4 9 5
7 34 3 9 14 1
8 31 2 4 8 0
9 27 2 0 10 8
10 38 5 11 14 14
11 42 85 6 11 8
12 16 55 3 8 2
13 92 7 3 5 3
14 62 51 12 13 0
15 26 46 11 11 0
16 37 28 2 12 7
17 30 64 2 9 3
18 88 49 4 6 6
19 26 3 10 11 11
20 61 25 0 7 5
21 95 25 8 12 3
22 49 64 3 13 4
23 4 19 3 5 1
24 14 92 10 10 4
25 79 10 4 9 3
26 27 66 8 10 7
27 4 1 6 7 0
28 9 3 9 13 1
29 63 28 10 11 0
30 16 48 9 13 5
31 44 19 7 11 2
32 46 17 13 13 10
33 15 97 1 6 1
34 87 27 0 13 8
35 11 4 5 9 7
36 10 90 2 5 3
37 17 10 2 6 5
38 52 39 1 11 9
39 4 3 8 9 7
40 99 96 4 12 11
41 91 44 9 10 6
42 89 48 5 5 5
43 66 55 2 9 2
44 51 16 5 6 2
45 24 13 10 14 5
46 3 32 6 14 11
47 57 24 4 13 3
48 40 82 5 14 8
49 78 52 7 10 6
50 30 63 10 12 0
51 69 13 1 7 6
52 78 86 4 6 0
53 97 95 8 12 8
54 73 64 7 12 10
55 2 98 9 10 2
56 52 70 9 9 8
57 34 41 7 10 2
58 37 16 6 9 7
59 76 14 0 13 2
60 85 0 3 5 4
61 53 3 5 12 0
62 9 24 6 7 1
63 97 50 5 5 4
64 12 73 4 9 8
65 14 4 10 14 0
66 62 93 1 6 5
67 24 60 5 14 0
68 79 93 0 7 2
69 68 77 2 7 7
70 33 45 10 14 12
71 30 91 3 6 3
72 28 10 9 12 7
73 20 43 6 8 7
74 66 48 3 12 11
75 5 39 1 8 0
76 4 59 0 9 6
77 49 93 4 5 5
78 72 42 9 11 6
79 33 24 9 12 7
80 73 22 7 10 1
81 94 71 0 7 7
82 54 49 2 14 1
83 78 62 4 7 7
84 6 2 9 12 5
85 44 58 5 10 3
86 64 47 4 14 10
87 91 90 5 9 7
88 67 72 4 5 2
89 90 13 7 11 5
90 38 52 1 9 1
91 71 75 0 7 1
92 18 16 3 8 1
93 39 11 4 5 3
94 53 66 11 12 2
95 97 41 7 9 7
96 14 14 1 7 2
97 8 32 0 6 3
98 32 49 4 12 5
99 58 69 8 13 7
100 44 70 6 12 4
101 75 80 8 10 5
102 52 73 4 6 5
103 96 90 8 11 8
104 5 83 9 12 3
105 36 24 1 10 6
106 12 51 5 13 9
107 37 15 7 14 7
108 98 85 5 12 7
109 36 18 3 11 5
110 41 76 3 10 1
111 75 32 9 12 1
112 54 38 0 12 12
113 2 99 9 11 8
114 39 36 2 7 1
115 39 64 10 11 8
116 43 32 9 13 7
117 93 52 4 11 7
118 33 26 0 14 8
119 51 2 2 7 5
120 59 8 2 10 3
121 41 31 0 14 0
122 96 99 3 5 1
123 89 93 1 8 3
124 71 37 6 13 8
125 84 39 0 6 2
126 98 27 0 7 2
127 45 68 8 11 8
128 2 82 5 8 2
129 14 75 0 9 5
130 12 43 0 7 5
131 16 56 5 11 5
132 31 98 4 6 0
133 26 69 2 6 2
134 54 43 4 10 10
135 24 6 4 6 6
136 49 62 5 7 1
137 32 85 0 8 6
138 34 4 2 5 3
139 67 33 6 12 7
140 18 68 6 13 1
141 84 73 0 11 8
142 31 84 6 13 10
143 83 4 5 12 11
144 65 63 9 11 9
145 36 76 1 8 8
146 77 95 13 13 13
147 79 17 9 14 10
148 4 37 0 6 1
149 10 79 7 12 12
150 82 82 3 7 1
151 84 92 0 13 2
152 47 17 2 13 12
153 91 83 6 14 9
154 24 77 6 7 5
155 94 89 2 7 4
156 84 55 0 5 5
157 95 71 3 13 10
158 8 67 5 8 8
159 35 71 0 5 5
160 32 66 4 12 1
161 98 18 6 11 0
162 91 58 2 7 1
163 80 49 3 5 0
164 48 43 0 6 3
165 58 33 0 12 12
166 88 19 3 11 5
167 19 47 11 11 11
168 28 4 1 5 4
169 40 38 0 8 5
170 2 25 4 9 5
171 22 97 4 10 7
172 56 19 1 8 6
173 80 5 5 9 4
174 95 70 10 11 8
175 86 2 5 9 5
176 17 53 2 5 5
177 49 39 0 5 2
178 75 88 6 11 10
179 13 86 6 12 0
180 95 38 1 7 3
181 15 57 4 10 7
182 86 77 3 13 9
183 45 61 2 12 11
184 62 16 8 13 10
185 69 59 0 5 5
186 39 54 7 13 7
187 35 3 4 8 5
188 19 32 0 8 3
189 44 9 0 5 1
190 20 31 11 14 10
191 38 32 8 9 2
192 91 40 4 9 2
193 50 18 12 12 9
194 52 77 0 6 2
195 48 66 6 12 8
196 72 51 1 8 5
197 24 36 10 10 4
198 1 99 3 5 1
199 99 54 0 5 0
200 82 37 3 10 6
warehouse 82 1
