name tsdp_4_s50_k10
K 10
stations
# id x y nbp capa ideal
1 50 9 7 13 13
2 94 55 7 13 9
3 36 50 3 12 10
4 52 3 2 6 5
5 21 73 11 12 6
6 56 66 4 11 8
7 49 66 3 13 0
8 40 42 3 7 0
9 28 3 8 8 3
10 79 98 0 8 1
11 81 89 1 6 4
12 23 94 10 12 3
13 62 62 4 13 8
14 70 71 0 8 7
15 53 85 5 10 3
16 8 37 0 14 11
17 54 96 4 10 6
18 75 8 5 10 8
19 17 78 8 11 4
20 62 59 1 9 4
21 39 54 7 12 8
22 96 67 9 11 6
23 17 27 0 7 4
24 43 86 5 6 2
25 7 63 7 12 8
26 59 52 1 10 0
27 87 97 7 14 8
28 49 31 1 9 1
29 3 86 11 13 10
30 20 80 4 13 3
31 10 41 8 12 6
32 15 41 0 9 2
33 23 7 0 10 3
34 64 37 0 6 1
35 37 5 11 14 2
36 29 93 1 10 2
37 19 80 9 9 6
38 28 76 0 6 3
39 76 76 8 10 8
40 38 79 5 9 7
41 27 89 2 7 4
42 3 12 0 6 2
43 26 70 7 7 1
44 57 35 6 7 2
45 15 79 2 9 2
46 90 53 2 8 7
47 79 21 6 12 5
48 90 73 12 12 8
49 62 44 6 11 11
50 20 54 8 8 2
warehouse 46 55
