name tsdp_6_s200_k10
K 10
stations
# id x y nbp capa ideal
1 69 1 5 5 0
2 50 9 4 7 4
3 94 55 11 12 9
4 36 50 0 9 6
5 52 3 1 5 5
6 21 73 11 11 6
7 56 66 4 11 5
8 30 8 1 6 2
9 58 87 4 5 0
10 42 45 3 6 0
11 28 3 7 7 3
12 79 98 7 12 9
13 50 17 1 5 1
14 89 73 4 8 0
15 76 23 5 7 6
16 22 67 8 11 11
17 23 56 5 7 6
18 71 73 4 7 7
19 53 85 1 11 4
20 91 59 0 8 3
21 8 37 4 5 3
22 54 96 1 11 4
23 54 75 0 5 4
24 31 40 5 6 6
25 9 53 0 9 2
26 59 3 1 9 7
27 54 70 2 5 4
28 96 67 4 8 5
29 22 17 4 8 1
30 60 43 7 11 0
31 10 7 2 12 6
32 79 59 0 9 4
33 64 87 0 7 1
34 46 42 2 5 0
35 49 31 6 9 3
36 30 65 6 8 6
37 74 20 2 5 3
38 10 41 5 11 6
39 15 41 2 8 2
40 23 7 0 6 4
41 28 75 4 8 0
42 37 32 2 6 5
43 5 73 7 7 0
44 29 93 2 9 2
45 19 80 8 8 6
46 28 76 5 5 3
47 76 76 7 8 4
48 40 38 6 12 10
49 51 62 7 12 11
50 89 77 6 6 4
51 3 12 3 5 2
52 26 70 6 6 1
53 57 35 5 6 2
54 15 79 11 12 3
55 34 28 1 9 5
56 2 23 3 12 9
57 21 37 3 7 1
58 89 8 4 11 5
59 20 54 5 7 2
60 65 19 6 12 4
61 48 23 0 8 8
62 78 77 8 9 9
63 49 37 1 9 3
64 57 15 7 11 5
65 30 54 5 11 1
66 29 80 3 10 2
67 28 96 9 12 5
68 5 71 2 5 2
69 95 41 1 6 0
70 19 7 0 12 0
71 20 39 1 12 11
72 17 67 4 5 4
73 59 30 4 6 6
74 69 28 4 9 9
75 67 79 5 9 0
76 9 87 8 11 1
77 39 79 7 8 6
78 99 58 1 7 2
79 71 2 6 12 8
80 75 41 5 11 1
81 2 94 4 6 0
82 22 88 5 10 7
83 69 40 6 6 5
84 98 3 1 5 5
85 38 45 0 10 0
86 89 69 3 10 3
87 21 28 2 7 7
88 41 12 4 6 4
89 97 9 7 7 7
90 58 28 5 6 1
91 1 96 8 8 6
92 27 48 6 7 0
93 79 12 6 6 0
94 82 42 0 6 5
95 76 77 6 8 5
96 23 44 4 7 3
97 43 22 4 6 5
98 56 45 7 8 6
99 10 10 4 9 4
100 34 8 7 7 5
101 71 38 3 9 2
102 62 72 5 9 2
103 49 48 2 9 9
104 96 93 0 12 9
105 95 16 7 7 4
106 83 77 1 5 0
107 91 97 7 10 7
108 88 82 0 9 8
109 83 22 6 10 4
110 41 91 3 6 0
111 78 16 1 10 10
112 20 33 2 10 5
113 35 79 4 6 2
114 76 61 6 6 3
115 1 37 1 6 4
116 23 84 8 11 7
117 56 13 6 6 0
118 60 22 0 11 0
119 0 85 0 9 9
120 73 4 4 6 6
121 21 90 8 9 9
122 40 83 2 12 11
123 32 0 0 12 7
124 14 80 6 9 0
125 60 32 12 12 12
126 91 85 0 12 6
127 38 9 1 10 2
128 45 78 8 11 8
129 68 5 5 10 3
130 82 77 0 11 2
131 9 55 4 8 0
132 47 95 5 10 1
133 45 1 0 6 4
134 83 82 4 10 1
135 40 63 3 9 4
136 6 18 2 11 0
137 40 88 0 10 1
138 30 86 2 7 4
139 16 14 6 8 7
140 23 57 0 12 0
141 60 87 8 9 9
142 17 73 3 10 3
143 59 0 1 7 3
144 51 16 3 11 2
145 77 14 0 9 1
146 15 73 5 5 0
147 87 49 4 8 4
148 24 60 6 7 7
149 93 63 6 10 5
150 39 21 7 11 10
151 48 7 4 8 4
152 96 46 5 7 2
153 16 49 2 5 3
154 46 4 6 8 3
155 3 88 1 9 2
156 72 20 9 10 4
157 10 17 11 11 5
158 92 5 4 6 6
159 41 75 2 6 4
160 22 19 4 12 7
161 86 13 6 6 6
162 42 61 5 6 6
163 18 46 2 6 6
164 97 11 1 12 3
165 71 78 0 9 7
166 81 86 7 12 0
167 79 64 6 7 7
168 45 39 3 5 3
169 84 95 1 5 5
170 43 71 6 6 0
171 8 84 8 12 0
172 45 95 3 6 6
173 90 54 1 5 4
174 67 44 7 7 1
175 14 8 2 6 6
176 91 7 8 9 3
177 7 24 5 8 0
178 80 59 0 5 3
179 15 39 3 5 0
180 31 85 10 12 0
181 62 16 0 10 6
182 5 79 2 7 1
183 0 54 10 11 4
184 35 80 11 12 6
185 54 46 12 12 9
186 2 88 8 11 11
187 41 82 2 10 7
188 69 94 3 5 0
189 8 11 5 10 7
190 22 68 2 6 4
191 37 9 5 12 3
192 94 28 1 8 7
193 70 8 5 10 2
194 32 61 3 11 8
195 44 85 1 7 2
196 53 1 0 5 5
197 31 32 5 8 0
198 73 93 8 9 6
199 86 45 4 7 7
200 70 82 4 5 4
warehouse 46 55
