name tsdp_5_s100_k10
K 10
stations
# id x y nbp capa ideal
1 80 62 3 6 1
2 75 77 5 6 2
3 33 68 4 6 0
4 2 76 0 9 2
5 5 26 9 12 9
6 86 43 8 10 5
7 49 4 2 10 0
8 66 66 0 12 3
9 85 28 7 8 5
10 50 26 0 11 7
11 40 69 8 11 10
12 90 63 4 7 3
13 85 11 3 6 2
14 35 22 2 6 3
15 24 48 6 7 3
16 7 36 6 8 8
17 33 76 1 7 4
18 33 15 4 10 5
19 70 1 0 6 4
20 48 42 3 5 5
21 73 65 7 12 2
22 66 25 6 10 10
23 68 29 1 6 6
24 22 3 3 6 4
25 24 60 1 11 10
26 58 20 0 11 2
27 70 28 2 7 5
28 34 91 8 9 7
29 46 92 1 11 5
30 63 44 4 6 4
31 17 91 5 12 5
32 50 88 2 12 8
33 77 39 4 5 0
34 76 45 5 9 8
35 79 57 2 7 5
36 32 76 7 11 7
37 22 48 3 12 11
38 37 33 4 5 5
39 41 27 3 7 6
40 51 95 9 12 7
41 5 67 1 5 3
42 42 5 1 6 3
43 96 23 1 9 7
44 45 31 1 5 3
45 69 35 4 10 2
46 99 14 9 9 9
47 0 72 6 11 3
48 18 97 4 11 8
49 88 73 5 5 0
50 37 46 0 6 4
51 56 45 9 10 9
52 60 1 8 9 1
53 25 25 7 10 6
54 84 74 5 5 4
55 98 54 1 12 2
56 12 49 11 12 12
57 94 26 4 6 2
58 64 91 2 7 2
59 85 64 8 12 12
60 11 86 3 11 10
61 16 9 10 10 4
62 63 95 7 7 0
63 66 91 9 9 2
64 99 41 7 11 4
65 63 63 5 5 5
66 26 39 3 11 1
67 97 33 11 11 10
68 24 33 6 10 9
69 92 13 7 10 2
70 82 11 4 9 8
71 39 33 8 10 3
72 52 31 10 11 4
73 21 6 2 5 5
74 29 23 3 8 0
75 3 52 10 11 2
76 7 47 10 11 0
77 46 78 3 10 8
78 29 40 7 7 2
79 24 70 2 6 6
80 5 11 4 7 3
81 44 1 4 12 2
82 7 96 5 10 5
83 8 45 6 7 3
84 36 39 6 6 2
85 42 22 5 6 2
86 83 83 1 7 5
87 47 65 0 5 5
88 44 99 6 9 0
89 84 54 3 6 0
90 82 84 8 8 5
91 84 60 0 10 5
92 6 27 8 12 7
93 23 83 1 8 2
94 98 81 2 10 6
95 23 63 0 8 1
96 58 19 2 7 7
97 26 57 3 8 4
98 26 80 1 6 4
99 64 74 1 5 4
100 19 52 0 6 3
warehouse 10 73
